BOOKAUTHORNAME,COUNTRY,FORMAT,ID,NAMEOFBOOK,PRODUCER,YEAR
Mark Twain,Russia,format1,8704416,The Adventures of Tom Sawyer,producer1,2000
Ernest Hemingway,France,format2,1887851,The Old Man and the Sea,producer2,2001
Edgar Allan Poe,Spain,format3,2378230,Tales of Edgar Allan Poe,producer3,1996
Harper Lee,China,format4,9518555,To Kill a Mockingbird,producer4,2010
Jack London,Greece,format5,2418272,Hearts of Three,producer5,1998
Stephen King,USA,format5,2555621,The Dark Tower,producer6,1975
Charles Bukowski,Italy,format6,7952605,Factotum,producer7,2007
O. Henry,England,format7,6837642,The Gift of the Magi,producer8,2011
William Makepeace Thackeray,Germany,format8,7320148,Vanity Fair,producer9,2018
Rudyard Kipling,Denmark,format9,1479696,The Jungle Book,producer10,1989
